ID,Black Area,Orange Area,TOTAL,ORANGE:BLACK RATIO
Y20_47_S_6672,92.757,28.683,121.44,0.309227336
,20.696,1.116,,
,43.49,12.574,,
,28.571,12.665,,
,,2.328,,
Y21_T47_S_6675,84.684,25.242,109.926,0.298072835
,22.043,1.83,,
,38.281,12.371,,
,24.36,9.754,,
,,1.287,,
Y25_T29_S_6686,86.286,28.742,115.028,0.333101546
,23.684,28.742,,
,23.287,,,
,15.764,,,
,23.054,,,
,0.384,,,
,0.113,,,
Y26_T47_S_6689,93.853,24.257,118.11,0.258457375
,24.818,0.846,,
,44.365,11.351,,
,24.67,12.06,,
